Rank,MovieName,Worldwide_lifetime_gross(M),Domestic_lifetime_gross(M),Foreign_lifetime_gross(M),DomesticPercentage,ForeignPercentage,Year_of_release
410,Alvin and the Chipmunks: Chipwrecked,342.7,133.11,209.58,38.8,61.2,2011
411,Wanted,342.46,134.51,207.95,39.3,60.7,2008
412,The Flintstones,341.63,130.53,211.1,38.2,61.8,1994
413,A Quiet Place,340.95,188.02,152.93,55.2,44.8,2018
414,Enchanted,340.49,127.81,212.68,37.5,62.5,2007
415,Over the Hedge,339.8,155.02,184.78,45.6,54.4,2006
416,Dora and the Lost City of Gold,337.94,60.48,277.46,17.9,82.1,2019
417,300: Rise of an Empire,337.58,106.58,231,31.6,68.4,2014
418,Batman Forever,336.53,184.07,152.46,54.7,45.3,1995
419,Prince of Persia: The Sands of Time,336.37,90.76,245.61,27,73,2009
420,The Curious Case of Benjamin Button,335.8,127.51,208.29,38,62,2008
421,Journey 2: The Mysterious Island,335.26,103.86,231.4,31,69,2012
422,The Rock,335.06,134.07,200.99,40,60,1996
423,The Great Wall,334.93,45.54,289.39,13.6,86.4,2016
424,Now You See Me 2,334.9,65.08,269.82,19.4,80.6,2016
426,Deep Impact,334.52,140.46,194.05,42,58,1998
427,Fantastic Four,333.54,154.7,178.84,46.4,53.6,2005
428,Indiana Jones and the Temple of Doom,333.11,179.87,153.24,54,46,1984
429,Tomorrow Never Dies,333.01,125.3,207.71,37.6,62.4,1997
430,The Good Dinosaur,332.21,123.09,209.12,37,63,2015
431,Back to the Future Part II,331.95,119,212.95,35.8,64.2,1989
432,22 Jump Street,331.33,191.72,139.61,57.9,42.1,2014
433,Meet the Parents,330.44,166.24,164.2,50.3,49.7,2000
434,Who Framed Roger Rabbit,329.8,156.45,173.35,47.4,52.6,1988
435,Black Swan,329.4,106.95,222.44,32.5,67.5,2010
436,The Perfect Storm,328.72,182.62,146.1,55.6,44.4,2000
437,Crocodile Dundee,328.2,174.8,153.4,53.3,46.7,1986
439,Se7en,327.33,100.13,227.21,30.6,69.4,1995
440,John Wick: Chapter 3 - Parabellum,327.28,171.02,156.27,52.2,47.8,2019
441,The Devil Wears Prada,326.71,124.74,201.97,38.2,61.8,2006
442,Taken 3,326.48,89.26,237.22,27.3,72.7,2015
443,The Hunchback of Notre Dame,325.34,100.14,225.2,30.8,69.2,1996
444,A Christmas Carol,325.29,137.86,187.43,42.4,57.6,2009
445,The SpongeBob Movie: Sponge Out of Water,325.19,162.99,162.19,50.1,49.9,2015
446,Schindler's List,322.16,96.9,225.26,30.1,69.9,1993
447,Megamind,321.89,148.42,173.47,46.1,53.9,2010
448,Green Book,321.75,85.08,236.67,26.4,73.6,2018
